KeyMineProject,Property Name,Primary Commodity,Commodity Group,List of Owners,List of Royalty Holders,Development Stage,Activity Status,Latitude (degrees),Longitude (degrees),Coordinate Accuracy
24535,North Star Tailings,Gold,Precious Metals,NA,NA,Closed,Inactive,33.296940,-113.969440,Exact
24536,Harquahala,Gold,Precious Metals,Terraco Gold Corp. (Owner) 100%,NA,Target Outline,Inactive,33.667500,-113.590560,Exact
24538,Carr Placer,Gold,Precious Metals,Private Interest (Owner),NA,Feasibility,Inactive,40.031590,-121.420590,Exact
24539,Nancy Ann,Gold,Precious Metals,NA,NA,Target Outline,Inactive,38.055200,-120.801310,Exact
24540,Flume House,Gold,Precious Metals,O'Hara Resources Ltd (Owner) 100%,NA,Reserves Development,Inactive,38.273330,-120.730830,Exact
24541,Boston-Esperanza,Gold,Precious Metals,NA,NA,Target Outline,Inactive,38.313010,-120.683210,Exact
24542,Gold Cliff,Gold,Precious Metals,Mother Lode Gold Mines Consolidated (Optionee) 100%; Individual (Optionor),NA,Target Outline,Inactive,38.171670,-120.483610,Exact
24543,Valentine Mountain,Gold,Precious Metals,Great Thunder Gold Corp. (Owner) 100%,Beau Pre Explorations Ltd. (NSR) 5%,Reserves Development,Active,48.517780,-123.882780,Exact
24544,Miller,Gold,Precious Metals,NA,NA,Exploration,Inactive,38.121150,-120.574280,Approximate
24545,Bald Eagle Placer,Gold,Precious Metals,International Minerals Services Ltd (Owner),NA,Exploration,Inactive,38.101110,-120.490280,Exact
24548,Alhambra-Atlanta,Gold,Precious Metals,California Gold Mines (US) Inc. (Optionee); Lion One Metals Limited (Optionor),NA,Exploration,Inactive,38.825280,-120.790280,Exact
24549,American Girl,Gold,Precious Metals,NA,NA,Closed,Inactive,32.855600,-114.786700,Exact
24550,Picacho,Gold,Precious Metals,NA,NA,Closed,Inactive,32.961670,-114.643610,Exact
24551,Senator,Gold,Precious Metals,NA,NA,Exploration,Inactive,32.890380,-114.481890,Exact
24557,Rand,Gold,Precious Metals,NA,Yellow Aster Mining and Milling Co (NSR) 7.5%,Closed,Inactive,35.358060,-117.661390,Exact
24558,Hayden Hill,Gold,Precious Metals,NA,NA,Closed,Inactive,40.995560,-120.883610,Exact
24561,Red Cloud,Gold,Precious Metals,Aurum Technologies Inc (Owner) 100%,NA,NA,Inactive,37.738940,-120.085790,Exact
24562,Specimen,Gold,Precious Metals,Claim Owners (Optionor); Genco USA (Optionee),NA,Target Outline,Inactive,37.606080,-120.130810,Exact
24563,Redhawk,Gold,Precious Metals,NA,NA,Exploration,Inactive,41.890960,-120.305460,Exact
24564,Mooney Flat Hydraulic,Gold,Precious Metals,NA,NA,Exploration,Inactive,39.221790,-121.277440,Exact
24565,Spanish Mine,Gold,Precious Metals,NA,Claim Owners (NSR) 5%,Reserves Development,Inactive,39.381940,-120.786110,Exact
24566,Birchville,Gold,Precious Metals,Brass Ring Resources Inc (Optionor); Odessa Explorations Inc (Optionee),NA,Exploration,Inactive,39.388330,-120.722220,Exact
24567,Willey Placer,Gold,Precious Metals,Private Interest (Owner) 100%,NA,Exploration,Inactive,39.082780,-120.714170,Exact
24568,Mystery Gulch Mine,Gold,Precious Metals,NA,NA,Exploration,Inactive,40.092970,-121.215750,Exact
24569,Sunnyside,Gold,Precious Metals,NA,NA,Target Outline,Inactive,40.100160,-121.122730,Approximate
