MineID	MineName	Owners	Development Stage	Activity Status	Lat	Lon
24543	Valentine Mountain	Great Thunder Gold Corp. (Owner) 100%	Reserves Development	Active	48.517780	-123.882780
24544	Miller	NA	Exploration	Inactive	38.121150	-120.574280
24545	Bald Eagle Placer	International Minerals Services Ltd (Owner)	Exploration	Inactive	38.101110	-120.490280
24548	Alhambra-Atlanta	California Gold Mines (US) Inc. (Optionee); Lion One Metals Limited (Optionor)	Exploration	Inactive	38.825280	-120.790280
24549	American Girl	NA	Closed	Inactive	32.855600	-114.786700
24550	Picacho	NA	Closed	Inactive	32.961670	-114.643610
24551	Senator	NA	Exploration	Inactive	32.890380	-114.481890
24557	Rand	NA	Closed	Inactive	35.358060	-117.661390
24558	Hayden Hill	NA	Closed	Inactive	40.995560	-120.883610
24561	Red Cloud	Aurum Technologies Inc (Owner) 100%	NA	Inactive	37.738940	-120.085790
24562	Specimen	Claim Owners (Optionor); Genco USA (Optionee)	Target Outline	Inactive	37.606080	-120.130810
24563	Redhawk	NA	Exploration	Inactive	41.890960	-120.305460
24564	Mooney Flat Hydraulic	NA	Exploration	Inactive	39.221790	-121.277440
24565	Spanish Mine	NA	Reserves Development	Inactive	39.381940	-120.786110
24566	Birchville	Brass Ring Resources Inc (Optionor); Odessa Explorations Inc (Optionee)	Exploration	Inactive	39.388330	-120.722220
24567	Willey Placer	Private Interest (Owner) 100%	Exploration	Inactive	39.082780	-120.714170
24568	Mystery Gulch Mine	NA	Exploration	Inactive	40.092970	-121.215750
24569	Sunnyside	NA	Target Outline	Inactive	40.100160	-121.122730
24570	Bellevue	International Minerals Services Ltd (Owner); Soper-Wheeler Co (Owner); Stephens Financial Services LLC (Owner)	Exploration	Inactive	39.739720	-120.940000
24571	Seneca	Afitex Financial Services Inc (Venturer) 50%; SKG Interactive Inc (Venturer) 50%	Reserves Development	Inactive	40.111670	-121.103890
24572	Bagdad Chase	Bentley Resources Ltd (Optionee) 50%; United States Oil and Minerals Corp (Optionor) 50%	Preproduction	Inactive	34.627500	-116.166670
24573	Colosseum	NA	Closed	Inactive	35.571110	-115.564720
24575	Morning Star	Vanderbilt Gold Corp (Owner) 100%	Reserves Development	Inactive	35.360560	-115.490280
24577	Summit Diggings	Empire Minerals Ltd (Owner) 100%	NA	Inactive	35.443290	-117.642290
24580	Reid	Terramar Resources (Owner) 100%	Target Outline	Inactive	40.660830	-122.428890
24583	Sixteen-to-One	"Original Sixteen to One Mine, Inc. (Owner) 100%"	Operating	Care And Maintenance	39.465280	-120.842500
24584	Red Ledge	Pembina Minerals Inc (Venturer) 50%; Dungannon/Jamex Explorations Ltd (Venturer) 25%	Target Outline	Inactive	39.445000	-120.907780
24585	Feather Fork	Feather Fork Mines Inc (Optionor); TrueStar Petroleum Corp. (Optionee)	Feasibility	Inactive	39.720640	-120.917720
24586	Plumbago	Chuck Mitchell Estate (Owner) 100%	Target Outline	Inactive	39.452220	-120.812500
24587	Red Star	"Original Sixteen to One Mine, Inc. (Owner) 100%"	Closed	Inactive	39.473200	-120.838890
24588	Gold Point	Gold Point Mining Co (Optionor); Jab International Inc (Optionee)	Exploration	Inactive	39.544440	-120.863610
24589	Brush Creek	Jab International Inc (Owner) 100%	Reserves Development	Inactive	39.512780	-120.888060
24591	Commodore	Blackstar Resources Inc (Owner) 100%	Exploration	Inactive	41.800830	-122.874170
24593	Brown Bear	Unnamed Owner (Owner) 100%	Exploration	Inactive	40.723610	-122.729170
24594	Trinity	TrueStar Petroleum Corp. (Optionee) 51%; Powerhouse Energy Corp (Optionor) 49%; Barksdale Capital Corp. (Optionor)	Reserves Development	Inactive	40.555280	-122.782220
24595	La Grange	NA	Exploration	Inactive	40.729440	-122.986110
24596	Clio	United Gold Corp (Northwest Gold Corp) (Owner) 100%	Target Outline	Inactive	37.846670	-120.366390
24598	Black Rose	Private Interest (Owner) 100%	Closed	Inactive	40.094150	-105.403360
24599	Consolidated Caribou	Calais Resources Inc. (Owner) 100%	Reserves Development	Inactive	39.979170	-105.572500
24600	Emancipation	Moritz Mining Co (Owner) 100%	Exploration	Inactive	40.053890	-105.366940
24601	John Jay	Fatima Minerals Inc (Owner); Protocol International Inc (Owner)	Exploration	Inactive	40.106940	-105.431670
24603	Little Matty	NA	Preproduction	Inactive	39.726390	-105.546670
24604	Capital Prize	Private Interest (Owner)	Exploration	Inactive	39.709440	-105.692220
24606	Franklin	"Franklin Mining, Inc. (Owner) 100%"	Exploration	Inactive	39.660560	-105.942780
24608	Black Eagle Mine	NA	Exploration	Inactive	39.733040	-105.554230
24609	Frontenac-Aduddell	NA	Target Outline	Inactive	39.770830	-105.518890
24610	Bates-Hunter	Wits Basin Precious Minerals Inc. (Owner) 100%	Target Outline	Inactive	39.799170	-105.506670
24612	Lucky Strike	Dateline Resources Limited (Optionee) 100%; Unnamed Owner (Optionor)	Exploration	Active	38.435320	-106.854520
24614	Leadville	NA	Closed	Inactive	39.228060	-106.175000
24619	Diamond	Leadville Corp (Owner) 100%	Reserves Development	Inactive	39.253330	-106.221670
24621	Bessie G	NA	Closed	Inactive	37.434420	-108.008850
24624	Red Mountain #3	NA	Reserves Development	Inactive	37.911940	-107.695560
24626	Ling	International Brenmac Development Corp (Owner) 100%	Exploration	Inactive	39.372500	-106.102780
24627	Great West	Alma American Mining Corp (Optionee); Chiwawa Mines Inc (Optionor)	Exploration	Inactive	39.302790	-106.101400
24629	Sunnyside	NA	Closed	Inactive	37.890560	-107.646670
24630	Sultan Mountain	P and G Mining Inc (Owner) 100%	Target Outline	Inactive	37.805830	-107.684170
24631	Special Session	Great Colorado Silver Development Co (Optionee); Rapholz Silver Inc (Owner)	Exploration	Inactive	37.868000	-108.013660
24632	Cameron Mine	NA	Operating	Inactive	38.742780	-105.131320
24633	Cripple Creek and Victor	Newmont Mining Corporation (Owner) 100%	Expansion	Active	38.723870	-105.152730
24634	Dolly Varden	Yellow Gold of Cripple Creek (Owner)	Exploration	Inactive	38.734170	-105.154740
24635	Cobalt	NA	Target Outline	Inactive	41.577220	-72.550830
24639	Atlantis	Atlantis Mining and Manufacturing Co Inc (Owner)	Exploration	Inactive	43.486410	-114.335500
24642	Miller Mountain	Tundra Gold Mines Ltd (Owner) 100%	Exploration	Inactive	44.145180	-115.509250
24646	Mineral Zone	Idaho Mining and Development Co (Optionor)	Reserves Development	Inactive	45.836670	-115.432220
24647	Big Buffalo	Big Buffalo Mining Co (Owner)	Closed	Inactive	45.607340	-115.686100
24649	Buffalo Gulch	"Premium Exploration, Inc. (Owner) 100%"	Reserves Development	Active	45.896390	-115.492780
24650	Nugget Creek	David L Mendenhall (Owner)	Exploration	Inactive	45.211250	-114.689100
24651	Gold Hill	NCN Exploration and Development Co (Optionee); Nevcal Resources (Optionor)	Exploration	Inactive	45.370000	-114.292220
24660	Safety Creek Prospect	Arivaca Silver Mines Ltd (Venturer); Copper Lake Exploration (Venturer)	Exploration	Inactive	44.949720	-115.077780
24663	Almaden	Terraco Gold Corp. (Owner) 100%	Feasibility	Active	44.240280	-116.713330
24667	Miller Mountain	Western Epithermal (Owner)	Exploration	Inactive	46.620280	-111.414170
24668	Gilt Edge	Blue Range Mining Co Ltd Partnership (Owner) 100%	Closed	Inactive	47.144170	-109.226670
24669	Moccasin	NA	Exploration	Inactive	47.280000	-109.467780
24671	Comet	Concord Mines Ltd (Venturer) 75%; Keith Johnson (Venturer) 25%	Closed	Inactive	46.310280	-112.172220
24678	Tuscarora	Novo Resources Corporation (Owner) 100%	Target Outline	Active	41.311670	-116.222500
24681	Lookout Mountain	"Idaho State Gold Company, LLC (Venturer) 50%; Timberline Resources Corporation (Venturer) 50%"	Reserves Development	Active	39.404440	-115.982220
24682	Bottle Creek	NA	Exploration	Inactive	41.358610	-118.319720
24683	Marigold	Silver Standard Resources Inc. (Owner) 100%	Operating	Active	40.734170	-117.175000
24684	Buckskin National	"Buckskin National Mine Ltd (Owner); Paragon Precious Metals, Inc. (Owner); Private Interest (Owner)"	Reserves Development	Inactive	41.792780	-117.540280
24685	Pinson	"Waterton Global Resource Management, Inc. (Owner) 100%"	Operating	Care And Maintenance	41.130000	-117.268060
24686	Independence	Cibolan Gold Corporation (Owner) 100%	Reserves Development	Active	40.527910	-117.125910
24687	Dean	St George Metals Inc (Owner) 100%	Reserves Development	Inactive	40.428060	-116.843890
24688	Buffalo Valley	Newmont Mining Corporation (Venturer) 70%; Fairmile Goldtech Inc. (Venturer) 30%	Reserves Development	On Hold Awaiting Financing	40.603890	-117.246940
24689	Hilltop	Barrick Gold Corporation (Owner) 100%	Reserves Development	Inactive	40.413890	-116.803890
24690	Robertson	Coral Gold Resources Limited (Owner) 100%	Prefeas/Scoping	Active	40.308060	-116.690280
24691	McCoy/Cove	Premier Gold Mines Limited (Owner) 100%	Reserves Development	Active	40.306940	-117.236670
24692	Blue Bird	NA	Target Outline	Inactive	40.628060	-117.106940
24694	Atlanta	Meadow Bay Gold Corporation (Owner) 100%	Reserves Development	Active	38.462500	-114.333330
24695	Pioche	Unnamed Owner (Owner) 100%	Exploration	Inactive	37.900830	-114.057220
24696	Talapoosa	Timberline Resources Corporation (Optionee) 100%; Gunpoint Exploration Limited (Optionor)	Prefeas/Scoping	Active	39.454830	-119.275700
24699	Buckskin Rawhide East	"Coral Reef Capital, L.L.C. (Optionee) 100%; Emgold Mining Corporation (Optionor)"	Exploration	Active	39.014170	-118.385280
24702	Bullfrog	Barrick Gold Corporation (Owner) 100%	Closed	Inactive	36.910000	-116.810000
24703	Pioneer	"Royal Apex Silver Inc (Venturer) 50%; U.S. Precious Metals, Inc. (Venturer) 50%; Kanco Energy Inc (Optionor)"	Exploration	Inactive	37.005000	-116.788330
24704	Gold Bar	Kerr Mines Inc. (Venturer) 95%; Northern Canadian Uranium Inc (Venturer) 5%	Reserves Development	Temporarily On Hold	39.759170	-116.439720
24705	Golden Arrow	Nevada Sunrise Gold Corporation (Owner) 100%	Reserves Development	Active	37.996390	-116.603060
24706	Quartz Mountain	"International Silver, Inc. (Owner) 100%"	Target Outline	Active	39.043060	-117.966390
24707	Poncho and Lefty	CRA Phase Ii Ltd (Optionee) 100%	Exploration	Inactive	38.995000	-117.883610
24708	Longstreet	"Star Gold Corporation (Optionee) 100%; MinQuest, Inc. (Optionor)"	Prefeas/Scoping	Active	38.379170	-116.709720
24709	Sterling	Imperial Metals Corporation (Owner) 100%	Residual Production	Active	36.829170	-116.639440
24711	Jersey Valley	Reynolds Metals Company (Venturer) 50%; St George Metals Inc (Venturer) 50%	Exploration	Inactive	40.176670	-117.465000
24712	Rabbit Hole Placers	NA	Target Outline	Inactive	40.800830	-118.707220
24714	Majuba/Rye Patch	NA	Target Outline	Inactive	40.654720	-118.410560
24715	Florida Canyon	Rye Patch Gold Corp. (Owner) 100%	Operating	Active	40.579170	-118.238330
24717	Auburn	NA	Target Outline	Inactive	40.765830	-117.869170
24718	Barrel Springs	NA	Exploration	Inactive	40.811390	-118.707220
24720	Rosebud	Harvest Gold Corporation (Owner) 100%	Reserves Development	Active	40.812500	-118.661670
24721	Gooseberry	Pallis Mining Co (Owner) 100%	Closed	Inactive	39.484170	-119.464440
24722	New York	NA	NA	Inactive	39.263800	-119.655200
24725	Monte Cristo	NA	Target Outline	Inactive	39.246940	-115.564720
24729	Buck Mountain	NA	NA	Inactive	39.747720	-115.524490
24736	Bonito	Barrick Gold Corporation (Owner) 100%	Reserves Development	Inactive	33.460560	-105.802780
24738	Vera Cruz	NA	Target Outline	Inactive	33.605560	-105.701670
24740	Victorio	NA	Exploration	Inactive	32.182030	-108.083910
24742	El Oro	NA	Closed	Inactive	32.966810	-107.480900
24744	Silver Hill	Carolina Minerals Resources Inc (Owner) 100%	Exploration	Inactive	35.705830	-80.200560
24745	Russell-Coggins	Piedmont Mining Corp. (Owner) 100%	Reserves Development	Inactive	35.486940	-80.019720
24746	Howie	Pacific Minesearch Ltd (Optionee) 87.5%; Howie Gold Exploration (Venturer) 12.5%	Target Outline	Inactive	34.957780	-80.715280
24748	Bald Mountain/Ibex	Kinross Gold Corporation (Optionee) 50%; Alpine Minerals (Optionor)	Feasibility	Inactive	44.733330	-118.366670
24749	Record	Golconda Resources Ltd. (Owner)	Exploration	Inactive	44.377220	-118.241670
24750	Dolly Varden	NA	Exploration	Inactive	44.767500	-117.370000
24751	Pine Creek	Pine Creek Mining Inc (Owner)	Closed	Inactive	44.977780	-117.193890
24752	Iron Dyke	Alta Gold Co (Owner) 100%	Exploration	Inactive	45.027050	-116.858170
24754	Dixie Meadow	NA	Reserves Development	Inactive	44.601390	-118.695000
24755	Idol City	NA	Target Outline	Inactive	43.778060	-118.892500
24756	Warner	NA	Exploration	Inactive	42.737500	-123.169440
24757	Goff	Rio Tinto (Owner)	Exploration	Inactive	42.680280	-123.559720
24758	Ida	NA	Target Outline	Inactive	42.495600	-123.253350
24759	Greenback	Alpaca Resources Inc (Owner) 100%	Exploration	Inactive	42.653330	-123.305830
