MineID	MineName	Development Stage	Activity Status	Lat	Lon
24604	Capital Prize	Exploration	Inactive	39.709440	-105.692220
24606	Franklin	Exploration	Inactive	39.660560	-105.942780
24608	Black Eagle Mine	Exploration	Inactive	39.733040	-105.554230
24609	Frontenac-Aduddell	Target Outline	Inactive	39.770830	-105.518890
24610	Bates-Hunter	Target Outline	Inactive	39.799170	-105.506670
24612	Lucky Strike	Exploration	Active	38.435320	-106.854520
24614	Leadville	Closed	Inactive	39.228060	-106.175000
24619	Diamond	Reserves Development	Inactive	39.253330	-106.221670
24621	Bessie G	Closed	Inactive	37.434420	-108.008850
24624	Red Mountain #3	Reserves Development	Inactive	37.911940	-107.695560
24626	Ling	Exploration	Inactive	39.372500	-106.102780
24627	Great West	Exploration	Inactive	39.302790	-106.101400
24629	Sunnyside	Closed	Inactive	37.890560	-107.646670
24630	Sultan Mountain	Target Outline	Inactive	37.805830	-107.684170
24631	Special Session	Exploration	Inactive	37.868000	-108.013660
24632	Cameron Mine	Operating	Inactive	38.742780	-105.131320
24633	Cripple Creek and Victor	Expansion	Active	38.723870	-105.152730
24634	Dolly Varden	Exploration	Inactive	38.734170	-105.154740
24635	Cobalt	Target Outline	Inactive	41.577220	-72.550830
24639	Atlantis	Exploration	Inactive	43.486410	-114.335500
24642	Miller Mountain	Exploration	Inactive	44.145180	-115.509250
24646	Mineral Zone	Reserves Development	Inactive	45.836670	-115.432220
24647	Big Buffalo	Closed	Inactive	45.607340	-115.686100
24649	Buffalo Gulch	Reserves Development	Active	45.896390	-115.492780
24650	Nugget Creek	Exploration	Inactive	45.211250	-114.689100
24651	Gold Hill	Exploration	Inactive	45.370000	-114.292220
24660	Safety Creek Prospect	Exploration	Inactive	44.949720	-115.077780
24663	Almaden	Feasibility	Active	44.240280	-116.713330
24667	Miller Mountain	Exploration	Inactive	46.620280	-111.414170
24668	Gilt Edge	Closed	Inactive	47.144170	-109.226670
24669	Moccasin	Exploration	Inactive	47.280000	-109.467780
24671	Comet	Closed	Inactive	46.310280	-112.172220
24678	Tuscarora	Target Outline	Active	41.311670	-116.222500
24681	Lookout Mountain	Reserves Development	Active	39.404440	-115.982220
24682	Bottle Creek	Exploration	Inactive	41.358610	-118.319720
24683	Marigold	Operating	Active	40.734170	-117.175000
24684	Buckskin National	Reserves Development	Inactive	41.792780	-117.540280
24685	Pinson	Operating	Care And Maintenance	41.130000	-117.268060
24686	Independence	Reserves Development	Active	40.527910	-117.125910
24687	Dean	Reserves Development	Inactive	40.428060	-116.843890
24688	Buffalo Valley	Reserves Development	On Hold Awaiting Financing	40.603890	-117.246940
24689	Hilltop	Reserves Development	Inactive	40.413890	-116.803890
24690	Robertson	Prefeas/Scoping	Active	40.308060	-116.690280
24691	McCoy/Cove	Reserves Development	Active	40.306940	-117.236670
24692	Blue Bird	Target Outline	Inactive	40.628060	-117.106940
24694	Atlanta	Reserves Development	Active	38.462500	-114.333330
24695	Pioche	Exploration	Inactive	37.900830	-114.057220
24696	Talapoosa	Prefeas/Scoping	Active	39.454830	-119.275700
24699	Buckskin Rawhide East	Exploration	Active	39.014170	-118.385280
24702	Bullfrog	Closed	Inactive	36.910000	-116.810000
24703	Pioneer	Exploration	Inactive	37.005000	-116.788330
24704	Gold Bar	Reserves Development	Temporarily On Hold	39.759170	-116.439720
24705	Golden Arrow	Reserves Development	Active	37.996390	-116.603060
24706	Quartz Mountain	Target Outline	Active	39.043060	-117.966390
24707	Poncho and Lefty	Exploration	Inactive	38.995000	-117.883610
24708	Longstreet	Prefeas/Scoping	Active	38.379170	-116.709720
24709	Sterling	Residual Production	Active	36.829170	-116.639440
24711	Jersey Valley	Exploration	Inactive	40.176670	-117.465000
24712	Rabbit Hole Placers	Target Outline	Inactive	40.800830	-118.707220
24714	Majuba/Rye Patch	Target Outline	Inactive	40.654720	-118.410560
