Row Labels,Month,Day,Payloads,Paytons,CycleTime_Sum_Minutes,Traveling_Sum_Minutes,Waiting_Sum_Minutes,Spotting_Sum_Minutes,Loading_Sum_Minutes,Hauling_Sum_Minutes,Queued_Sum_Minutes,Backing_Sum_Minutes,Tipping_Sum_Minutes
403,2,6,2,355.5999908,68.65,20.18333333,11.48333333,0.483333333,6,28.9,0.05,0.333333333,1.216666667
403,2,6,1,179.3999939,72.18333333,34.83333333,0.016666667,0.65,5.683333333,29.96666667,0.183333333,0.266666667,0.583333333
403,2,6,6,1046.699982,236.7,94.55,26.15,2.9,19.68333333,85.7,3.483333333,0.833333333,3.4
403,2,6,6,1123.099991,167.4833333,45.73333333,8.533333333,1.7,18.03333333,82.41666667,4.816666667,1.7,4.55
403,2,6,1,181.3000031,19.66666667,5.733333333,5.733333333,0.183333333,3,3.916666667,0.266666667,0.3,0.533333333
403,2,6,9,1665.299957,466.9,129.0833333,24.4,2.216666667,26.86666667,267.8333333,8.233333333,3.666666667,4.6
403,2,7,4,751.4000092,101.5166667,44.5,8.266666667,2.016666667,11.25,31.61666667,0.216666667,1.233333333,2.416666667
403,2,7,1,182.1000061,20.15,4.566666667,0.183333333,0,3.866666667,10.26666667,0.116666667,0.6,0.55
403,2,7,6,1167.099976,202.1666667,94.76666667,6.933333333,1.266666667,15.08333333,78.08333333,2.666666667,0,3.366666667
403,2,7,6,1088.500015,262.2166667,109.6833333,20.71666667,1.466666667,15.03333333,108.1166667,0.866666667,2.583333333,3.75
403,2,7,1,185.8999939,23.18333333,9.416666667,0.083333333,0.65,2.866666667,9.3,0.066666667,0.35,0.45
403,2,7,4,787.7999725,124.0833333,32.81666667,19.13333333,1.533333333,9.35,55.3,0.483333333,3.4,2.066666667
403,2,7,8,1512.59996,450.4,110.35,14.21666667,3.716666667,22.95,288.8666667,0.883333333,3.4,6.016666667
403,2,8,5,891.0999756,184.2,100.9833333,8.583333333,0.833333333,13.73333333,57.28333333,0,0.016666667,2.766666667
403,2,8,3,537.9000092,98.11666667,38.46666667,6.4,0.6,8.016666667,37.38333333,1.333333333,0.533333333,5.383333333
403,2,8,1,195.8000031,26.13333333,9.25,0,0.016666667,6.366666667,7.216666667,2.133333333,0.483333333,0.666666667
403,2,8,8,1525.300003,406.6166667,113.7,3.116666667,2.116666667,17.5,259.4333333,2.016666667,3.783333333,4.95
403,2,10,1,205.6000061,35.28333333,19.16666667,0.083333333,0.283333333,3.133333333,11.66666667,0.033333333,0.383333333,0.533333333
403,2,10,1,184.8999939,27.26666667,7.066666667,4.833333333,0.383333333,2.75,11.21666667,0.083333333,0.4,0.533333333
403,2,10,1,205.6999969,41.98333333,23.96666667,0.25,0.733333333,2.133333333,13.61666667,0.05,0.633333333,0.6
403,2,10,1,191.3000031,36.38333333,16.01666667,2.466666667,0.3,5.066666667,8.716666667,0.15,2.966666667,0.7
403,2,10,1,191.6999969,39.18333333,6.1,12,0.366666667,3.85,15.9,0.016666667,0.466666667,0.483333333
403,2,10,1,178.1999969,47.93333333,17.83333333,13.5,0.933333333,3.7,9.5,0.05,0.65,1.766666667
403,2,10,14,2617.200012,797.6166667,243.1,61.81666667,7.516666667,36.36666667,413,18.11666667,7.433333333,10.26666667
403,2,11,1,184.1999969,39.33333333,20.36666667,2.916666667,0.183333333,2.5,11.86666667,0.05,0.833333333,0.616666667
403,2,11,5,968,214.1833333,105.3166667,15.71666667,0.733333333,13.66666667,73.6,0.7,2.133333333,2.316666667
403,2,11,1,180.5,24.9,10.33333333,2.3,0.266666667,2.816666667,7.516666667,0,0,1.666666667
403,2,11,15,2845.600037,791.8333333,219.6166667,43.68333333,4.233333333,37,472.8,1.166666667,6.483333333,6.85
403,2,12,1,195.1999969,38.36666667,20.51666667,2.716666667,0.016666667,1.866666667,11.61666667,0.05,0.466666667,1.116666667
403,2,12,1,182,30.56666667,13.43333333,2.466666667,0.366666667,1.633333333,11.66666667,0.133333333,0.333333333,0.533333333
403,2,12,2,394,75.03333333,41.75,0.083333333,0.65,5.083333333,25.16666667,0.1,1.2,1
403,2,12,1,193.6999969,48.95,32.28333333,0.033333333,0.016666667,1.583333333,13.71666667,0.116666667,0.533333333,0.666666667
403,2,12,3,558.2999878,96.18333333,26.85,14.55,0.983333333,8.866666667,40.68333333,0.116666667,1.516666667,2.616666667
403,2,12,1,183.1000061,21.6,11.8,2.4,0.833333333,2.433333333,3.566666667,0,0,0.566666667
403,2,12,2,368.2999878,63.06666667,27.93333333,3.366666667,1.2,6.433333333,17.4,0.916666667,4.25,1.566666667
403,2,12,12,2291.800018,769.6833333,243.5333333,20.35,4.25,31.76666667,454.85,1.983333333,5.616666667,7.333333333
403,2,13,4,736.5,88.53333333,26.3,1.233333333,1.816666667,14.28333333,41.43333333,0.016666667,0,3.45
403,2,13,2,400.7000122,97.23333333,35.65,27.28333333,0.583333333,8.333333333,21.78333333,0.466666667,1.933333333,1.2
403,2,13,7,1303.800003,240.0833333,90.55,17.28333333,2.85,20.75,97.8,2.366666667,4.733333333,3.75
403,2,13,2,341.6000061,35.08333333,19.9,1.616666667,2.233333333,2.066666667,6.7,1.383333333,0.316666667,0.866666667
403,2,13,1,191.3999939,22.71666667,6.183333333,0.033333333,0.9,2.083333333,10.6,0.083333333,0.766666667,2.066666667
403,2,13,12,2222.399979,667.2333333,202.6833333,9.283333333,4.966666667,25.86666667,407.1666667,2.783333333,6.116666667,8.366666667
403,2,14,9,1716.800018,213.6166667,89.5,22.01666667,1.966666667,24.8,60.7,4.233333333,4.5,5.9
403,2,14,2,370.7000122,55.11666667,19.46666667,0.566666667,0.666666667,5.816666667,25.56666667,0.266666667,1.266666667,1.5
403,2,14,14,2638.800003,464.9833333,164.2,26.98333333,4.383333333,32.36666667,218.6166667,5.766666667,4.8,7.866666667
403,2,14,2,344.5,64.13333333,27.06666667,0.816666667,1.633333333,7.366666667,25.98333333,0,0,1.266666667
403,2,14,2,359.5999908,84.18333333,51.1,0,0.016666667,4.116666667,26.48333333,2.116666667,0,0.35
403,2,14,1,205.6999969,26.58333333,14.03333333,0.3,0.266666667,3.316666667,7.8,0.033333333,0.316666667,0.516666667
403,2,14,6,1145.399994,310.7333333,97.35,12.4,2.616666667,15.28333333,174.6666667,1.1,4,3.316666667
403,2,15,2,363.1000061,38.43333333,9.833333333,9.3,0.583333333,5.483333333,10.88333333,0.566666667,0.616666667,1.166666667
